,SectionID,raisedhands,VisitedResources,Discussion,StudentAbsenceDays,Class,Student number,AssnDays
53,7,49,70,75,0,4,54,1
54,7,12,50,30,1,2,55,3
55,7,16,14,20,1,2,56,4
56,8,19,5,1,1,2,57,4
57,7,5,2,5,1,2,58,3
58,7,28,60,50,0,3,59,3
59,7,27,22,40,0,3,60,3
60,7,21,10,20,1,2,61,4
61,7,50,70,40,0,3,62,1
62,7,80,90,80,0,4,63,1
63,7,17,13,12,0,3,64,3
64,7,0,5,2,1,2,65,4
65,7,13,5,19,1,2,66,3
66,7,25,10,30,1,3,67,3
67,7,65,75,80,0,4,68,1
68,7,70,69,30,0,4,69,1
69,7,39,40,33,0,3,70,4
70,7,22,30,12,1,2,71,3
71,7,29,22,20,0,3,72,3
72,7,11,2,8,0,2,73,4
73,7,19,30,19,1,3,74,4
74,8,12,0,13,0,2,75,4
75,7,50,90,60,0,3,76,1
76,7,15,70,44,0,3,77,3
77,7,20,80,33,0,3,78,3
78,7,13,3,9,1,2,79,4
79,8,80,90,55,0,4,80,1
80,7,8,15,40,0,2,81,3
81,7,8,25,70,1,2,82,4
82,8,7,5,80,1,2,83,3
83,8,7,4,50,1,3,84,3
84,8,50,70,10,1,4,85,1
85,8,1,0,12,1,2,86,4
86,8,70,12,50,0,4,87,1
87,8,19,70,50,0,2,88,4
88,8,3,12,33,0,2,89,4
89,8,5,20,50,1,2,90,4
90,8,4,8,60,1,2,91,4
91,8,80,90,19,0,4,92,1
92,8,50,70,15,0,4,93,1
93,8,55,89,40,0,4,94,2
94,8,80,44,10,1,2,95,1
95,8,100,80,70,0,4,96,1
96,9,14,60,75,0,4,97,3
97,8,6,2,12,0,3,98,4
98,9,10,3,30,0,3,99,4
99,8,50,7,50,1,3,100,1
100,8,50,90,90,0,3,101,2
101,8,70,92,7,0,4,102,2
102,8,2,6,8,1,2,103,3
103,8,1,7,10,1,2,104,4
104,8,0,12,3,1,3,105,3
105,8,0,0,80,1,2,106,3
106,8,12,26,40,0,3,107,4
107,8,70,90,33,0,4,108,2
108,8,7,12,3,1,3,109,4
109,8,90,70,14,0,3,110,1
110,8,70,88,40,0,4,111,2
111,9,77,80,80,0,3,112,1
112,8,2,5,50,1,2,113,4
113,8,25,27,69,1,2,114,4
114,8,11,2,50,1,2,115,4
115,8,0,8,70,1,2,116,4
116,9,77,80,19,1,3,117,2
117,9,25,29,17,0,4,118,3
118,9,24,35,22,1,3,119,4
119,9,60,60,60,0,3,120,1
120,9,21,12,50,0,3,121,3
121,9,0,4,30,1,2,122,3
122,8,66,90,12,1,3,123,2
123,8,70,98,5,0,3,124,1
124,9,0,6,15,0,2,125,4
125,8,12,30,17,1,2,126,4
126,9,2,9,55,0,3,127,4
127,8,55,33,9,1,2,128,1
128,9,12,10,16,0,2,129,4
129,8,70,90,2,0,2,130,1
130,9,7,9,30,1,2,131,3
131,9,80,42,50,0,3,132,1
132,9,0,3,3,1,2,133,3
133,7,12,60,70,1,2,134,4
134,7,80,80,70,0,4,135,1
135,7,70,80,70,0,4,136,2
136,7,70,80,70,0,4,137,2
137,7,60,80,40,0,3,138,1
138,7,100,80,90,0,4,139,1
139,7,100,85,70,0,3,140,2
140,7,10,60,20,1,2,141,3
141,7,19,65,10,1,2,142,4
142,7,10,75,11,0,3,143,4
143,7,80,90,19,0,4,144,2
144,7,10,10,19,1,2,145,4
145,7,70,75,11,0,3,146,1
146,7,100,75,70,0,4,147,1
147,7,10,79,30,0,3,148,3
148,7,60,55,40,0,3,149,1
149,7,100,75,70,0,4,150,1
150,7,80,80,59,0,4,151,1
151,7,23,63,89,0,3,152,4
152,8,100,91,40,0,4,153,1
153,8,10,51,40,1,2,154,4
154,8,70,50,41,1,3,155,2
155,8,70,58,91,0,4,156,1
156,8,70,50,49,0,3,157,1
157,8,70,50,40,0,3,158,2
158,8,22,51,10,1,2,159,4
159,8,62,68,80,0,3,160,2
160,8,82,89,50,0,4,161,2
161,8,72,80,66,0,3,162,2
162,8,70,82,73,0,4,163,2
163,8,60,82,43,1,3,164,1
164,8,55,72,14,1,3,165,1
165,8,72,65,66,0,4,166,1
166,8,51,82,43,0,3,167,1
167,8,80,92,43,0,4,168,1
168,8,60,52,33,0,4,169,1
169,8,30,12,23,0,3,170,4
170,8,40,62,33,0,4,171,3
171,8,60,52,33,0,3,172,1
172,8,20,22,13,1,2,173,4
173,8,20,52,33,1,2,174,3
174,8,50,62,43,1,3,175,2
175,8,10,2,53,1,2,176,4
176,8,60,52,33,0,4,177,1
177,8,15,52,11,0,3,178,3
178,8,80,42,13,0,4,179,2
179,8,40,51,33,0,3,180,3
180,8,60,70,93,0,4,181,1
181,8,50,62,33,1,2,182,1
182,7,85,75,53,0,4,183,2
183,7,25,15,53,0,3,184,3
184,7,10,35,13,1,2,185,4
185,7,87,65,33,0,4,186,1
186,7,85,15,53,0,3,187,2
187,7,80,71,51,0,3,188,1
188,7,75,71,53,0,4,189,2
189,7,85,66,23,0,3,190,1
190,7,23,25,53,0,2,191,4
191,7,15,25,13,1,2,192,3
192,7,95,91,53,0,3,193,1
193,7,81,75,53,0,3,194,1
194,7,53,75,23,0,3,195,2
195,7,15,43,33,0,3,196,3
196,7,92,65,53,0,4,197,1
197,7,83,75,53,0,4,198,1
198,8,27,15,53,1,2,199,3
199,8,45,95,13,0,3,200,4
200,8,15,90,83,0,4,201,4
201,7,45,58,43,0,4,202,4
202,8,25,5,33,0,3,203,3
203,8,22,51,40,0,3,204,3
204,8,29,10,24,1,2,205,3
205,8,72,51,24,1,4,206,1
206,8,67,31,14,0,3,207,1
207,9,17,21,14,0,3,208,4
208,9,27,41,14,0,3,209,3
209,9,70,81,84,0,3,210,1
210,9,27,90,14,0,4,211,4
211,9,17,61,14,0,3,212,4
212,9,87,81,19,0,4,213,1
213,9,7,61,14,1,2,214,3
214,9,17,50,4,1,2,215,4
215,9,5,21,14,1,2,216,3
216,9,27,41,61,1,3,217,3
217,9,87,88,10,0,3,218,2
218,9,96,61,94,0,4,219,2
219,9,57,51,34,0,3,220,1
220,9,77,69,13,0,3,221,2
221,9,80,51,24,0,3,222,1
222,8,62,61,40,0,3,223,1
223,7,72,83,90,0,4,224,2
224,8,87,81,70,0,4,225,1
225,7,72,90,30,0,3,226,2
226,8,2,11,30,0,2,227,4
227,7,5,3,10,0,2,228,4
228,8,73,84,81,1,4,229,1
229,7,5,17,10,1,2,230,4
230,7,51,42,29,1,3,231,2
231,7,9,7,20,1,2,232,3
232,7,19,72,50,1,3,233,4
233,8,32,80,46,1,3,234,4
234,8,32,60,66,1,3,235,4
235,8,12,8,26,1,2,236,3
236,8,52,10,6,1,2,237,2
237,8,72,80,66,1,3,238,2
238,8,72,80,66,1,3,239,1
239,8,92,80,76,0,4,240,1
240,8,72,80,96,0,4,241,2
241,8,72,80,86,0,3,242,2
242,8,22,20,6,1,2,243,3
243,8,12,20,46,1,3,244,3
244,8,70,92,85,0,4,245,1
245,7,50,40,66,0,3,246,2
246,7,80,94,77,0,4,247,1
247,7,87,48,96,1,3,248,2
248,7,70,40,16,1,2,249,1
249,7,65,86,40,1,3,250,2
250,7,15,6,40,0,4,251,4
251,7,19,74,17,1,2,252,4
252,7,69,76,94,0,3,253,2
253,7,39,26,44,1,2,254,4
254,7,59,97,70,0,4,255,1
255,7,10,17,40,0,4,256,4
256,7,80,87,60,0,4,257,1
257,7,70,99,65,0,3,258,2
258,7,80,97,95,0,3,259,2
259,7,69,34,17,1,2,260,1
260,7,10,17,14,1,2,261,4
261,7,61,97,64,1,3,262,1
262,7,21,27,34,1,3,263,3
263,7,49,94,7,1,3,264,1
264,7,70,64,32,0,3,265,1
265,7,79,84,37,0,4,266,1
266,7,19,80,17,1,3,267,3
267,7,11,70,29,1,3,268,4
268,7,10,8,10,1,3,269,4
269,7,18,28,20,1,3,270,3
270,7,90,84,30,0,4,271,2
271,7,92,81,36,0,3,272,2
272,7,42,21,16,0,3,273,4
273,7,22,20,26,0,4,274,3
274,7,95,82,70,0,4,275,1
275,7,90,62,60,0,4,276,2
276,7,72,21,26,0,4,277,2
277,7,92,31,27,0,4,278,1
278,7,82,31,25,0,3,279,1
279,7,72,41,27,0,3,280,1
280,7,74,71,37,0,4,281,1
281,7,74,60,37,0,4,282,2
282,7,95,94,80,0,4,283,1
283,7,97,87,86,0,4,284,2
284,7,40,38,36,1,3,285,3
285,7,41,39,39,1,3,286,4
286,7,51,79,89,0,4,287,2
287,7,81,79,85,0,4,288,1
288,7,71,70,69,0,3,289,1
289,7,75,71,80,0,3,290,2
290,7,49,36,44,1,2,291,2
291,7,42,24,24,1,2,292,4
292,7,90,86,74,0,4,293,1
293,7,62,64,84,0,4,294,2
294,7,90,86,74,1,3,295,1
295,7,62,64,84,1,3,296,1
296,7,98,87,84,0,4,297,1
297,7,72,74,89,0,4,298,1
298,7,18,17,34,1,3,299,4
299,7,32,14,29,1,3,300,4
300,7,10,12,13,1,2,301,3
301,7,22,34,9,1,2,302,4
302,8,11,20,23,0,3,303,4
303,8,12,44,39,0,3,304,4
304,8,15,50,43,0,3,305,3
305,8,32,44,89,0,3,306,4
306,8,65,59,83,0,4,307,2
307,8,72,64,89,0,4,308,2
308,8,95,57,89,1,3,309,2
309,8,82,84,79,1,3,310,1
310,8,25,29,33,1,3,311,3
311,8,42,34,39,1,3,312,4
312,8,55,79,43,0,4,313,1
313,8,62,64,49,0,4,314,2
314,8,78,88,83,0,4,315,1
315,8,72,84,89,0,4,316,1
316,7,60,92,23,0,4,317,1
317,7,50,90,13,0,4,318,1
318,7,60,97,3,0,4,319,2
319,7,50,95,10,0,4,320,1
320,7,60,87,11,1,3,321,1
321,7,50,80,15,1,3,322,1
322,7,10,15,21,1,2,323,4
323,7,30,10,5,1,2,324,4
324,7,24,35,31,0,3,325,3
325,7,27,20,35,0,3,326,4
326,7,10,15,21,1,2,327,4
327,7,30,10,5,1,2,328,3
328,7,80,77,83,0,3,329,2
329,7,75,85,80,0,3,330,2
330,7,40,7,41,1,2,331,3
331,7,35,2,33,1,2,332,3
332,7,10,90,21,0,3,333,4
333,7,25,80,23,0,3,334,4
334,7,10,8,3,1,2,335,4
335,7,15,7,7,1,2,336,3
336,7,70,90,21,0,3,337,2
337,7,75,80,20,0,3,338,2
338,8,78,98,11,0,3,339,2
339,8,79,89,14,0,3,340,1
340,8,16,90,11,0,3,341,3
341,8,17,80,10,0,3,342,3
342,8,40,87,41,0,3,343,4
343,8,35,92,33,0,3,344,3
344,8,14,97,14,0,4,345,4
345,8,13,82,30,0,4,346,4
346,8,24,97,14,0,4,347,3
347,8,23,82,30,0,4,348,4
348,8,20,3,3,1,2,349,3
349,8,15,4,7,1,2,350,4
350,8,5,13,6,1,2,351,3
351,8,7,9,10,1,2,352,3
352,8,10,94,11,0,3,353,4
353,8,25,89,13,0,3,354,3
354,8,30,98,21,0,4,355,3
355,8,35,97,23,0,4,356,3
356,8,32,88,25,0,3,357,4
357,8,25,87,27,0,3,358,4
358,8,72,98,15,0,4,359,2
359,8,75,90,17,0,4,360,1
360,7,20,88,28,1,3,361,3
361,7,10,98,38,1,3,362,4
362,7,90,98,38,0,4,363,1
363,7,80,88,39,0,4,364,2
364,7,80,95,28,0,4,365,1
365,7,78,70,29,0,4,366,2
366,7,10,18,38,1,3,367,4
367,7,10,58,48,1,3,368,4
368,7,98,88,31,0,4,369,1
369,7,75,81,34,0,4,370,1
370,7,10,17,21,0,3,371,4
371,7,35,2,23,0,3,372,4
372,7,10,20,97,1,2,373,3
373,7,5,9,98,1,2,374,3
374,8,10,10,51,1,2,375,3
375,8,35,2,23,1,2,376,3
376,8,20,90,61,1,3,377,4
377,8,32,82,63,1,3,378,3
378,8,10,30,91,1,2,379,4
379,8,12,22,83,1,2,380,4
380,8,11,20,98,1,2,381,3
381,8,10,12,93,1,2,382,4
382,8,69,82,28,0,4,383,1
383,8,70,83,33,0,4,384,2
384,8,89,92,28,0,4,385,2
385,8,79,93,23,0,4,386,2
386,8,15,90,97,0,3,387,4
387,8,20,77,88,0,3,388,3
388,8,4,10,7,1,2,389,4
389,8,5,0,8,1,2,390,3
390,7,88,81,10,1,3,391,2
391,7,90,88,12,1,3,392,2
392,7,86,98,20,0,4,393,1
393,7,90,90,22,0,4,394,1
394,7,78,91,40,0,4,395,2
395,7,70,98,72,0,4,396,1
396,7,80,80,61,0,3,397,1
397,7,85,82,63,0,3,398,2
398,7,88,90,81,0,4,399,1
399,7,89,92,83,0,4,400,1
400,7,39,71,26,1,3,401,3
401,7,35,80,22,1,3,402,3
402,7,76,81,86,0,4,403,2
403,7,65,89,82,0,4,404,2
404,7,96,95,70,0,4,405,1
405,7,80,91,72,0,4,406,1
406,7,2,9,1,1,2,407,3
407,7,3,8,3,1,2,408,3
408,8,50,79,31,0,3,409,1
409,8,53,88,33,0,3,410,2
410,8,70,89,21,0,4,411,2
411,8,59,90,43,0,4,412,1
412,8,78,80,51,0,3,413,1
413,8,79,72,83,0,3,414,1
414,8,10,9,1,1,2,415,3
415,8,9,7,3,1,2,416,3
416,8,98,90,71,0,4,417,1
417,8,89,92,83,0,4,418,1
418,8,88,90,81,0,4,419,1
419,8,99,96,84,0,4,420,2
420,7,82,89,31,0,4,421,2
421,7,84,92,43,0,4,422,2
422,7,70,69,45,1,3,423,1
423,7,74,62,43,1,3,424,1
424,7,90,79,79,0,4,425,2
425,7,84,77,68,0,4,426,2
426,7,80,80,11,1,3,427,2
427,7,81,82,13,1,3,428,2
428,7,10,0,41,1,2,429,3
429,7,11,2,49,1,2,430,4
430,7,85,89,61,0,4,431,1
431,7,80,89,68,0,4,432,2
432,7,95,87,81,0,3,433,1
433,7,87,79,98,0,3,434,2
434,7,85,87,10,1,3,435,1
435,7,79,88,20,1,3,436,1
436,7,80,81,30,0,3,437,1
437,7,70,83,23,0,3,438,1
438,7,80,82,19,0,3,439,1
439,7,70,82,29,0,3,440,1
440,7,89,87,15,0,3,441,1
441,7,90,86,10,0,3,442,2
442,7,69,77,75,1,3,443,1
443,7,70,76,70,1,3,444,2
444,7,75,72,39,1,2,445,2
445,7,72,76,40,1,2,446,1
446,7,77,82,79,0,3,447,1
447,7,71,84,80,0,3,448,2
448,7,87,92,89,0,4,449,2
449,7,81,84,85,0,4,450,2
450,7,15,97,10,0,4,451,3
451,7,19,98,2,0,4,452,4
452,7,25,82,20,1,3,453,4
453,7,29,78,12,1,3,454,3
454,7,45,87,80,0,3,455,4
455,7,39,88,72,0,3,456,4
456,7,85,90,30,0,4,457,1
457,7,79,91,22,0,4,458,1
458,7,90,91,81,0,4,459,2
459,7,80,90,83,0,4,460,1
460,7,80,83,71,1,3,461,2
461,7,71,81,72,1,3,462,2
462,7,72,87,89,1,3,463,1
463,7,69,77,92,1,3,464,2
464,7,85,99,90,0,4,465,1
465,7,89,96,92,0,4,466,2
466,7,80,82,58,0,4,467,2
467,7,87,93,60,0,4,468,2
468,7,15,9,80,1,2,469,4
469,7,9,6,85,1,2,470,3
470,7,81,86,41,0,3,471,1
471,7,78,82,53,0,3,472,1
472,7,80,87,68,0,3,473,2
473,7,85,88,70,0,3,474,2
474,7,2,7,8,1,2,475,4
475,7,5,4,8,1,2,476,4
476,7,50,77,28,0,3,477,2
477,7,55,74,29,0,3,478,2
478,7,30,17,57,1,2,479,4
479,7,35,14,62,1,2,480,3
